Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.66;0;1;0.0933228;-0.495361;-0.196045;-0.761536;-0.0785828;-0.0886078;0.0272293;-0.00641632;0.0357094;669.99;600.009;669.99;99.0097;-0.0305176;-0.0305176;-0.00762939;-0.00762939;0.00069809;0.000667572;670.01;670.029;600.014;-0.00149536;-0.290436;46.6697
0.67;0;1;0.199951;-0.281128;-0.179016;-0.971619;-0.0785828;-0.136948;0.115131;-0.0439262;-0.0200577;669.99;599.991;669.971;99.0585;-0.0305176;-0.0305176;0.00762939;-0.00762939;0.00209427;-0.000671387;670.029;670.01;600.005;-0.00149536;0.117432;46.6697
0.68;0;1;0.279968;-0.388245;-0.196045;-1.05914;-0.0423279;-0.104721;0.0377388;0.131775;0.0200539;669.99;599.973;670.01;99.0036;-0.0915527;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.01;669.99;600.005;-0.00161743;-0.14212;46.6606
0.69;0;1;0.253296;-0.415039;-0.264282;-1.00665;-0.0181274;-0.104721;-0.0453854;0.10611;-0.0220146;669.99;599.973;669.99;98.9364;-0.0305176;0.0915527;-0.0228882;-0.00762939;0.00069809;0.000667572;670.01;669.99;600.005;-0.0015564;0.0679932;46.6606
0.7;0;1;0.333252;-0.548889;-0.144897;-1.16418;0.0302124;-0.0886078;0.034874;0.120914;0.0239677;669.99;599.973;670.01;98.9425;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00069809;0.000667572;670.029;670.01;600.005;-0.00149536;-0.0432434;46.6697
0.71;0;1;0.30658;-0.789856;-0.11084;-1.02411;-0.0181274;-0.0778656;0.0358295;-0.0340538;-0.0141869;670.01;599.991;670.01;98.9425;-0.0305176;-0.0305176;-0.00762939;0.0228882;-0.00209427;-0.000671387;670.048;670.01;599.995;-0.0015564;-0.129761;46.6606
0.72;0;1;0.359924;-0.81665;-0.179016;-1.11163;0.0181274;-0.0617523;-0.0186329;-0.00148392;0.0542946;669.99;599.991;670.01;99.0036;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00209427;-0.000671387;670.029;669.99;599.995;-0.00149536;-0.0926819;46.6697
0.73;0;1;0.146606;-1.29858;-0.179016;-0.971619;0.0544128;-0.0832367;-0.0539837;-0.00641632;-0.0200577;669.99;599.991;670.01;99.0036;-0.0915527;0.0305176;-0.00762939;-0.00762939;0.00209427;0.000667572;670.029;669.99;599.995;-0.00149536;-0.0803223;46.6606
0.74;0;1;0.30658;-1.19153;-0.281311;-0.936584;0.0544128;-0.0510101;-0.0482521;0.0271416;0.0220108;669.99;599.973;670.01;99.0036;-0.0305176;0.0305176;0.00762939;0.00762939;0.00069809;-0.000671387;670.01;669.99;600.005;-0.00161743;-0.00616455;46.6697
0.75;0;1;0.199951;-1.29858;-0.29834;-0.919067;0.0423279;-0.0402832;-0.00334549;0.0034523;-0.0327759;669.971;599.973;669.971;99.0036;0.0305176;0.0915527;-0.0228882;0.00762939;0.00069809;-0.000671387;670.01;669.971;600.005;-0.0015564;0.241028;46.6606
0.76;0;1;0.386597;-1.29858;-0.230164;-0.744019;-0.0302429;-0.0510101;0.0826454;0.000492096;0.0112495;669.971;599.991;669.971;98.9975;-0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.029;669.971;599.986;-0.0015564;-0.0308838;46.6697
0.77;0;1;0.386597;-1.27185;-0.332458;-0.691528;0.0302124;-0.0724945;0.0291405;0.0301056;-0.0337524;669.99;599.991;669.971;98.9914;-0.0305176;0.0305176;-0.00762939;-0.00762939;0.00209427;0.000667572;670.029;669.99;600.005;-0.0015564;-0.0432434;46.6697
0.78;0;1;0.626587;-1.11121;-0.29834;-0.604004;0.0302124;-0.0402832;-0.0205441;0.108082;0.00244522;670.01;599.973;669.99;98.9975;0.0305176;0.0305176;0.00762939;0.00762939;0.00069809;-0.00201035;670.029;669.99;600.005;-0.0015564;-0.0926819;46.6789
0.79;0;1;0.813232;-1.03088;-0.264282;-0.446411;0.00604248;-0.0510101;-0.0377407;0.0222092;-0.0376663;669.99;599.991;670.01;98.9425;-0.0915527;0.0305176;-0.00762939;0.00762939;0.00069809;0.000667572;670.01;670.01;599.995;-0.00167847;-0.0308838;46.6606
0.8;0;1;1.21313;-0.789856;-0.213135;-0.463928;0.0181274;-0.0241699;-0.0367851;-0.0320816;0.000488281;669.99;599.991;670.01;98.9303;-0.0305176;0.0915527;-0.00762939;0.00762939;0.00069809;-0.00201035;670.01;670.01;599.995;-0.00149536;-0.0803223;46.6697
0.81;0;1;1.31982;-0.709534;-0.230164;-0.358887;0.00604248;-0.0456543;-0.0109882;-0.0439262;-0.0308189;669.99;600.009;669.99;99.0646;0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.01;670.029;599.995;-0.00149536;-0.0185242;46.6514
