Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0.39;0;1;-1.31091;0.839966;1.45789;-0.183838;0.0125122;-0.104721;-0.25272;0.035038;0.0288582;669.971;599.973;670.01;99.8703;0.335693;-1.86157;240.841;-282.269;-0.0137138;0.130642;670.01;670.01;669.99;-0.00161743;-0.0432434;46.6697
0.4;0;1;-1.17853;0.786621;1.62836;-0.236328;0.0125122;-0.104721;-0.21068;0.0192451;-0.028862;670.01;599.991;670.01;99.9252;0.274658;-1.7395;241.268;-281.827;-0.0124092;0.133408;670.029;670.01;670.01;-0.00161743;-0.0926819;46.6514
0.41;0;1;-1.15204;0.839966;1.66248;-0.166321;0.0125122;-0.0832367;-0.133287;-0.0577469;-0.0454941;669.99;599.973;669.99;99.9802;0.213623;-1.80054;240.795;-282.3;-0.0150223;0.133408;670.029;670.01;670.01;-0.00161743;-0.203918;46.6697
0.42;0;1;-1.12555;0.546631;1.85004;-0.148804;0.0245972;-0.09935;-0.222145;-0.0853844;0.0337524;669.99;600.009;670.01;99.9863;0.213623;-1.80054;241.268;-281.827;-0.0124092;0.130642;669.971;669.971;669.99;-0.00167847;-0.055603;46.6331
0.43;0;1;-1.20502;0.279968;2.08875;-0.148804;0.0245972;-0.0886078;-0.268007;-0.0636673;-0.0200577;670.01;599.991;670.01;100.035;0.213623;-1.7395;240.841;-282.269;-0.0150223;0.130642;670.01;669.99;670.01;-0.00161743;0.15451;46.6422
0.44;0;1;-1.09906;0.359985;2.02051;-0.0437622;0.0245972;-0.0563812;-0.250809;-0.0320816;-0.0337524;669.99;600.009;669.99;100.035;0.335693;-1.80054;241.268;-281.811;-0.0163269;0.133408;670.029;669.971;670.01;-0.00161743;-0.055603;46.6514
0.45;0;1;-1.17853;0.386658;2.15692;-0.113831;-0.0358887;-0.0241699;-0.200169;-0.00839233;-0.0357094;669.99;599.991;670.01;100.035;0.213623;-1.80054;240.826;-282.3;-0.0150223;0.130642;670.029;669.99;670.01;-0.00161743;0.142151;46.6606
0.46;0;1;-1.17853;0.359985;2.02051;0.00872803;0.0245972;-0.0886078;-0.121822;-0.0616951;-0.0259247;670.01;599.991;670.01;100.029;0.274658;-1.80054;241.253;-281.811;-0.0150223;0.133408;670.01;670.01;669.971;-0.00161743;-0.0803223;46.6514
0.47;0;1;-1.258;0.493286;1.96936;0.00872803;0.0487976;-0.0563812;-0.144753;-0.0715637;-0.0425568;669.99;599.954;669.99;100.035;0.0915527;-1.80054;240.81;-282.3;-0.0150223;0.130642;670.01;669.99;669.99;-0.00167847;-0.055603;46.6697
0.48;0;1;-1.17853;0.546631;1.83295;0.00872803;0.0245972;-0.0563812;-0.198259;0.00641632;-0.0132065;670.01;599.991;669.99;100.035;0.213623;-1.86157;241.237;-281.842;-0.0150223;0.133408;670.029;670.01;670.029;-0.00161743;-0.16684;46.6606
